MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS27
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS33
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS35
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS36
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS37
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS38
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS42
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS45
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS48
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS50
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRSS8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRTFDC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRTG
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRTN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRUNE
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRUNE2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRX
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSAP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSAPL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSCA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSD
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSEN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSEN2
0.321722805987228	0.003	NA	NA	NA	NA	0	0.701149425287356	NA	PSENEN
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG11
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSG9
0.00824309726543698	0.498	NA	NA	NA	NA	0	0.67816091954023	NA	PSIP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSKH1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB10
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB11
0.0938021078828521	0.185	NA	NA	NA	NA	0	0.436781609195402	NA	PSMB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMB9
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC3
