HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:48962	CRPPA-AS1		ISPD-AS1	100506025
HGNC:51433	CRTC3-AS1			101926895
HGNC:34405	CRYM-AS1	FLJ41766	NCRNA00169	400508
HGNC:51232	CSE1L-AS1			102723483
HGNC:40882	CSMD2-AS1	ENST00000434181		402779
HGNC:28604	CSNK1G2-AS1	MGC39696	C19orf34	255193
HGNC:54183	CSRP3-AS1			105376580
HGNC:27882	CSTF3-DT		CSTF3-AS1	338739
HGNC:54198	CT66			100507468
HGNC:37196	CT69			101928231
HGNC:37195	CT70	LeXis		107987106
HGNC:37174	CT75			440934
HGNC:48337	CTBP1-AS	PCAT10		285463
HGNC:28307	CTBP1-DT	MGC21675	C4orf42	92070
HGNC:28307	CTBP1-DT	MGC21675	CTBP1-AS1	92070
HGNC:28307	CTBP1-DT	MGC21675	CTBP1-AS2	92070
HGNC:41054	CXXC4-AS1			101929468
HGNC:53009	CXXC5-AS1			111082989
HGNC:52509	CYMP-AS1			440602
HGNC:28543	CYP1B1-AS1	MGC34824	C2orf58	285154
HGNC:43715	CYP4A22-AS1	ncRNA-a3		104355148
HGNC:31671	CYP17A1-AS1	bA753C18.3	CYP17A1OS	102724307
HGNC:50694	CYP51A1-AS1	ENST00000453068		613126
HGNC:50694	CYP51A1-AS1	LRRD1-AS1		613126
HGNC:28717	CYTOR	MGC4677	C2orf59	112597
HGNC:28717	CYTOR	MGC4677	NCRNA00152	112597
HGNC:28717	CYTOR	MGC4677	LINC00152	112597
HGNC:39560	CYYR1-AS1			100996571
HGNC:49443	DAB1-AS1			101926890
HGNC:51902	DACOR1	TCONS_00023265		100131796
HGNC:44120	DACT3-AS1			100506068
HGNC:51429	DALIR	DALI		104940698
HGNC:28964	DANCR	ANCR	KIAA0114	57291
HGNC:28964	DANCR	ANCR	SNHG13	57291
HGNC:28964	DANCR	AGU2	KIAA0114	57291
HGNC:28964	DANCR	AGU2	SNHG13	57291
HGNC:28964	DANCR	lncRNA-ANCR	KIAA0114	57291
