HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:5527	IGHG3			3502
HGNC:5528	IGHG4			3503
HGNC:5529	IGHGP		IGHGP1	3505
HGNC:5532	IGHJ1			28483
HGNC:5534	IGHJ2			28481
HGNC:5536	IGHJ3			28479
HGNC:5538	IGHJ4			28477
HGNC:5539	IGHJ5			28476
HGNC:5540	IGHJ6			28475
HGNC:5541	IGHM			3507
HGNC:5550	IGHV1-2	V35		28474
HGNC:5552	IGHV1-3	VI-3B		28473
HGNC:5559	IGHV1-8			28472
HGNC:5549	IGHV1-18			28468
HGNC:5551	IGHV1-24			28467
HGNC:5560	IGHV1-38-4	IGHV1-c	IGHV1-C	28460
HGNC:5553	IGHV1-45			28466
HGNC:5554	IGHV1-46			28465
HGNC:5555	IGHV1-58			28464
HGNC:5558	IGHV1-69		IGHV1-E	28461
HGNC:5562	IGHV1-69-2	IGHV1-f	IGHV1-F	28458
HGNC:49601	IGHV1-69D			102723169
HGNC:5563	IGHV1OR15-1	IGHV1/OR15-1		388077
HGNC:5567	IGHV1OR15-5	IGHV1/OR15-5		100384884
HGNC:5569	IGHV1OR15-9	IGHV1/OR15-9	VSIG7	390531
HGNC:5569	IGHV1OR15-9	IGHV1OR159	VSIG7	390531
HGNC:38040	IGHV1OR21-1	IGHV1/OR21-1		390530
HGNC:5576	IGHV2-5			28457
HGNC:5575	IGHV2-26			28455
HGNC:5577	IGHV2-70			28454
HGNC:49602	IGHV2-70D			102723168
HGNC:5579	IGHV2OR16-5	IGHV2/OR16-5		100129631
HGNC:5620	IGHV3-7			28452
HGNC:5628	IGHV3-9			28451
HGNC:5580	IGHV3-11			28450
HGNC:5581	IGHV3-13			28449
HGNC:5582	IGHV3-15			28448
HGNC:5583	IGHV3-16			28447
HGNC:5585	IGHV3-20			28445
HGNC:5586	IGHV3-21			28444
HGNC:5588	IGHV3-23			28442
HGNC:5591	IGHV3-30			28439
HGNC:5593	IGHV3-30-3			57290
HGNC:5594	IGHV3-30-5			89770
HGNC:5596	IGHV3-33			28434
HGNC:5598	IGHV3-35			28432
HGNC:5601	IGHV3-38			28429
HGNC:5629	IGHV3-38-3	IGHV3-d	IGHV3-D	28404
HGNC:5604	IGHV3-43			28426
HGNC:50322	IGHV3-43D			103106901
HGNC:5606	IGHV3-48			28424
HGNC:5607	IGHV3-49			28423
HGNC:5610	IGHV3-53			28420
HGNC:5617	IGHV3-64			28414
HGNC:49603	IGHV3-64D			102723170
HGNC:5619	IGHV3-66			28412
HGNC:5622	IGHV3-72			28410
HGNC:5623	IGHV3-73			28409
HGNC:5624	IGHV3-74			28408
HGNC:5643	IGHV3OR16-8	IGHV3/OR16-8		388255
HGNC:5644	IGHV3OR16-9	IGHV3/OR16-9		28307
HGNC:5634	IGHV3OR16-10	IGHV3/OR16-10		28306
HGNC:5636	IGHV3OR16-12	IGHV3/OR16-12		28304
HGNC:5637	IGHV3OR16-13	IGHV3/OR16-13		100287372
HGNC:5652	IGHV4-4			28401
HGNC:5645	IGHV4-28			28400
HGNC:5646	IGHV4-30-1			28399
HGNC:5647	IGHV4-30-2	IGHV4-3		28398
HGNC:5647	IGHV4-30-2	IGHV4302		28398
HGNC:5648	IGHV4-30-4	IGHV4-3		28397
HGNC:5648	IGHV4-30-4	IGHV4304		28397
HGNC:5649	IGHV4-31			28396
HGNC:5650	IGHV4-34			28395
HGNC:5657	IGHV4-38-2		IGHV4-B	28389
HGNC:5651	IGHV4-39			28394
HGNC:5654	IGHV4-59			28392
HGNC:5655	IGHV4-61			28391
HGNC:5658	IGHV4OR15-8	IGHV4/OR15-8	VSIG6	28317
HGNC:5658	IGHV4OR15-8	IGHV4OR158	VSIG6	28317
HGNC:5661	IGHV5-10-1	IGHV5-a	IGHV5-A	28386
HGNC:5659	IGHV5-51			28388
HGNC:5662	IGHV6-1			28385
HGNC:5665	IGHV7-4-1			57289
HGNC:5669	IGHV7-81			28378
HGNC:5716	IGKC	HCAK1		3514
HGNC:5717	IGKDEL		IGKDE	3515
HGNC:5719	IGKJ1	J1		28950
HGNC:5720	IGKJ2	J2		28949
HGNC:5721	IGKJ3			28948
HGNC:5722	IGKJ4			28947
HGNC:5723	IGKJ5			28946
HGNC:5741	IGKV1-5			28299
HGNC:5742	IGKV1-6			28943
HGNC:5743	IGKV1-8	IGKV18		28942
HGNC:5743	IGKV1-8	L9		28942
HGNC:5744	IGKV1-9	IGKV19		28941
HGNC:5744	IGKV1-9	L8		28941
HGNC:5730	IGKV1-12	IGKV112		28940
HGNC:5730	IGKV1-12	L19		28940
HGNC:5731	IGKV1-13			28939
HGNC:5732	IGKV1-16	IGKV116		28938
