HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:33612	ATP5MFP6		ATP5J2P6	654486
HGNC:13214	ATP5MGP1	ATPE5KP1	ATP5KP1	53411
HGNC:13214	ATP5MGP1	ATPE5KP1	ATP5LP1	53411
HGNC:13215	ATP5MGP2		ATP5KP2	53410
HGNC:13215	ATP5MGP2		ATP5LP2	53410
HGNC:13216	ATP5MGP3		ATP5KP3	53409
HGNC:13216	ATP5MGP3		ATP5LP3	53409
HGNC:38165	ATP5MGP4		ATP5LP4	100130396
HGNC:38167	ATP5MGP5		ATP5LP5	100287091
HGNC:38168	ATP5MGP6		ATP5LP6	100462865
HGNC:38169	ATP5MGP7		ATP5LP7	100287964
HGNC:38170	ATP5MGP8		ATP5LP8	100462862
HGNC:39742	ATP5PBP1		ATP5F1P1	100422523
HGNC:39743	ATP5PBP2		ATP5F1P2	645973
HGNC:39744	ATP5PBP3		ATP5F1P3	644333
HGNC:39745	ATP5PBP4		ATP5F1P4	100422514
HGNC:39746	ATP5PBP5		ATP5F1P5	100128516
HGNC:39747	ATP5PBP6		ATP5F1P6	645440
HGNC:39748	ATP5PBP7		ATP5F1P7	124496
HGNC:31021	ATP5PDP1	HsT18164	ATP5HP1	390581
HGNC:49624	ATP5PDP2		ATP5HP2	138234
HGNC:49625	ATP5PDP3		ATP5HP3	138864
HGNC:49626	ATP5PDP4		ATP5HP4	246723
HGNC:23933	ATP5PFP1		ATP5JP1	359997
HGNC:859	ATP6V1E1P1		ATP6EP1	343515
HGNC:859	ATP6V1E1P1		ATP6V1EP1	343515
HGNC:860	ATP6V1E1P2		ATP6EP2	100462844
HGNC:860	ATP6V1E1P2		ATP6V1EP2	100462844
HGNC:858	ATP6V1E1P3		ATP6EL1	729435
HGNC:858	ATP6V1E1P3		ATP6V1EL1	729435
HGNC:19816	ATP6V1G1P1		ATP6V1GP1	319116
HGNC:29359	ATP6V1G1P2		ATP6V1GP2	100128541
HGNC:37670	ATP6V1G1P3			100462838
HGNC:37671	ATP6V1G1P4			100462843
HGNC:37672	ATP6V1G1P5			100462840
HGNC:37673	ATP6V1G1P6			100462732
HGNC:39852	ATP6V1G1P7			100874514
HGNC:31323	ATP6V0CP1		ATCD1	100132978
HGNC:40000	ATP6V0CP2			106478961
HGNC:40001	ATP6V0CP3			442211
HGNC:40002	ATP6V0CP4			112436690
HGNC:41935	ATP6V0E1P1			100874502
HGNC:41936	ATP6V0E1P2			100874503
HGNC:41937	ATP6V0E1P3			100133262
HGNC:41938	ATP6V0E1P4			100874504
HGNC:31014	ATP7BP1			100462825
HGNC:39662	ATP8A2P1			100422505
HGNC:39663	ATP8A2P2			100533851
HGNC:42641	ATP8A2P3			100874518
HGNC:27245	ATP8B5P	FetA		158381
HGNC:18611	AURKAP1	AurAps1	STK6P	6791
HGNC:18611	AURKAP1	AurAps1	AURKAPS1	6791
HGNC:18612	AURKAP2	STK6LP	AURKAPS2	386665
HGNC:18613	AURKBP1	AurBps1	AURKBPS1	644233
HGNC:911	AZGP1P1			646282
HGNC:912	AZGP1P2			401393
HGNC:49098	AZU1P1			106480244
HGNC:51302	B3GALNT1P1			100128857
HGNC:51315	B3GALNT2P1			100130402
HGNC:35243	B3GAT3P1	PSIGLCAT-I	B3GAT3P	402146
HGNC:51316	B3GNT2P1			100422469
HGNC:51317	B3GNTL1P1			106481968
HGNC:51318	B3GNTL1P2			106480419
HGNC:51319	B4GALNT2P1			106481717
HGNC:996	BAK1P1	BAK2	BCL2L7P1	600
HGNC:997	BAK1P2	BAK3	BCL2L7P2	601
HGNC:997	BAK1P2	BAK3P	BCL2L7P2	601
HGNC:20252	BANF1P1	BCRP1		317687
HGNC:20252	BANF1P1	D14S1460		317687
HGNC:20252	BANF1P1	D14S1460E		317687
HGNC:20252	BANF1P1	BCRG1		317687
HGNC:23426	BANF1P2	bA122K13.8	BANF1L1	414169
HGNC:43883	BANF1P3			100505506
HGNC:43884	BANF1P4			100653423
HGNC:43885	BANF1P5			101290503
HGNC:39418	BASP1P1			646201
HGNC:52781	BBIP1P1			105373509
HGNC:51323	BCAP31P1	TCONS_l2_00010135		100194425
HGNC:51324	BCAP31P2	TCONS_l2_00009689		100194426
HGNC:51325	BCAR1P1			100533717
HGNC:51326	BCAR1P2			100533718
HGNC:39594	BCAS2P1			100127960
HGNC:39595	BCAS2P2			100421045
HGNC:39596	BCAS2P3			100128339
HGNC:51327	BCL2L12P1			100289095
HGNC:51328	BCL9P1			100419324
HGNC:51329	BCLAF1P1			728366
HGNC:51807	BCLAF1P2			731605
HGNC:23953	BCORP1	FLJ39821	BCORL2	286554
HGNC:39073	BCRP1	BCR-1		644079
