GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
ZDHHC2	1.44879162036421e-05	4.39175464502516e-05	8.63239486545571e-06	2.05887578687593e-05	0.206521739130435	0.329710144927536	0.463768115942029	8.91781403508772	8.28808131868132	7.8070203125	0.910900793078588	-0.723593201013514
STAR	2.36866819976487e-05	6.9309406561989e-05	4.11732030558506e-06	1.0218067336452e-05	0.36231884057971	0.427536231884058	0.210144927536232	2.387182	2.13161101694915	1.76751206896552	0.375558136363637	-0.481333343878519
NRSN2	2.89270113443166e-05	8.32448024699332e-05	0.00195066090911267	0.00358902388942651	0.409420289855072	0.384057971014493	0.206521739130435	8.07285221238938	7.65109433962264	7.4338350877193	0.497731966990607	-0.43487861091084
ADAM32	3.28121026466853e-05	9.36004631176733e-05	0.00472604284413612	0.00826393727661442	0.376811594202899	0.416666666666667	0.206521739130435	4.63183557692308	3.64286086956522	3.38197543859649	1.07543092576029	-0.730535520307618
HR	3.72783908009831e-05	0.000105363369565137	0.000154834393865276	0.000323981210692889	0.206521739130435	0.340579710144928	0.452898550724638	10.3593456140351	9.70095638297872	9.4442984	0.804883513578465	-0.505189017218544
RNF122	5.9225373991923e-05	0.000161372160835135	7.88269990084788e-10	2.97092675375044e-09	0.25	0.369565217391304	0.380434782608696	6.94191449275362	6.76528823529412	6.26119714285714	0.43232463768116	-0.57536133667502
PLCB4	6.02830806869941e-05	0.000163912268298767	0.992127543790001	0.993191202373533	0.405797101449275	0.38768115942029	0.206521739130435	11.2445625	10.1488878504673	10.7109754385965	0.900314939024391	0.00174256188416244
ARHGEF10	0.000102093409395092	0.000268245428606712	1.83230149271331e-06	4.7197559139891e-06	0.228260869565217	0.36231884057971	0.409420289855072	9.06812222222222	8.710022	8.29771238938053	0.576837245696399	-0.550716444975299
RP1L1	0.000189428976173071	0.000479862253747198	0.00450969104272902	0.00791155286265518	0.217391304347826	0.347826086956522	0.434782608695652	3.02083166666667	2.39204583333333	2.2111375	0.729290462962963	-0.422749038461538
NPM2	0.000494295583772244	0.00117366161967646	1.43279088653404e-09	5.26201962753651e-09	0.206521739130435	0.340579710144928	0.452898550724638	5.51495614035088	5.20244787234043	4.2706432	0.844360249939919	-1.04977136953642
