GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
FRMD5	3.61087782470626e-09	1.08944772379673e-08	5.44555393522703e-08	1.55575189588029e-07	0.202185792349727	0.551912568306011	0.245901639344262	7.64356081081081	6.69698316831683	5.40481111111111	1.3448498519067	-1.54596461352657
HERC2	3.76391345249586e-09	1.13374138798014e-08	2.07609639211285e-09	6.75946894259278e-09	0.204918032786885	0.579234972677596	0.215846994535519	11.2858546666667	10.8874396226415	10.4595873417722	0.5145673814433	-0.531967710492655
SACS	3.78034413890515e-09	1.13806280829995e-08	0.000952978900680634	0.00168746660423334	0.259562841530055	0.519125683060109	0.221311475409836	10.2868778947368	9.71830789473684	9.44081604938272	0.651510367061565	-0.467015178687459
AKAP11	3.80937411826416e-09	1.14617036142372e-08	5.14726740196994e-08	1.47281810554231e-07	0.254098360655738	0.510928961748634	0.234972677595628	10.3245430107527	9.91734598930481	9.47833953488372	0.545492095001773	-0.574254036544851
ATXN7L2	3.94517021167943e-09	1.18507010593957e-08	2.09520789610319e-11	8.39450341407739e-11	0.218579234972678	0.554644808743169	0.226775956284153	7.305005	6.83033103448276	6.30380843373494	0.627475979020979	-0.660706053897569
KLHL21	3.97001937220644e-09	1.19187882306868e-08	2.6187285933851e-09	8.44780747638415e-09	0.207650273224044	0.584699453551913	0.207650273224044	11.5269855263158	11.0934780373832	10.6567526315789	0.547959664246823	-0.550334264972777
CYB561D1	4.22972876338134e-09	1.26706246718736e-08	5.03509924497969e-07	1.30124907881482e-06	0.218579234972678	0.554644808743169	0.226775956284153	8.6790775	8.2045354679803	7.92147710843374	0.556688339160839	-0.417204517007961
CLCC1	4.86310926835344e-09	1.44964190581213e-08	5.49279808304915e-11	2.11005924274797e-10	0.218579234972678	0.554644808743169	0.226775956284153	9.92178625	9.57902167487685	9.20354337349398	0.451732054195805	-0.472372880922986
PHTF1	4.88255069512898e-09	1.45464317218218e-08	1.76912411924288e-09	5.79071812997847e-09	0.234972677595628	0.549180327868853	0.215846994535519	8.85148255813954	8.48525472636816	8.06229113924051	0.485563986710964	-0.532704331142767
IRS2	5.15544552124496e-09	1.53427182515089e-08	8.03675559892569e-11	3.0257953629476e-10	0.270491803278689	0.505464480874317	0.224043715846995	11.047002020202	10.5990913513514	9.88125975609756	0.668368312336852	-0.873969469254551
