MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	L2HGDH
0.297948690112702	0.004	NA	NA	NA	NA	0	0.112994350282486	NA	L3MBTL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	L3MBTL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	L3MBTL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LACE1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LACTB
NA	NA	NA	NA	NA	NA	NA	NA	NA	LACTB2
0.36814681511351	0	NA	NA	NA	NA	0	0.231638418079096	NA	LAD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAIR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAIR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMB3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMC3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAMP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LANCL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LANCL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAPTM4A
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAPTM4B
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAPTM5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARGE
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARP1
0.547870936778234	0	NA	NA	NA	NA	0	0.0564971751412429	NA	LARP1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARP4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARP4B
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARP6
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARP7
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	LARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LASP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LATS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LATS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LAYN
NA	NA	NA	NA	NA	NA	NA	NA	NA	LBH
NA	NA	NA	NA	NA	NA	NA	NA	NA	LBP
0.139884787123109	0.068	NA	NA	NA	NA	0	0.192090395480226	NA	LBR
0.211009956793391	0.202	NA	NA	NA	NA	0	0.0282485875706215	NA	LBX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCA5
0.0624122215378899	0.332	NA	NA	NA	NA	0	0.096045197740113	NA	LCA5L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCE1C
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCE1E
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCE3D
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCE3E
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCE5A
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCK
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCLAT1
0.201054787783021	0.005	NA	NA	NA	NA	0	0.378531073446328	NA	LCMT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCMT2
