MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	AES
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFAP1L1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFAP1L2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFF4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFG3L2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFMID
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AFTPH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGA
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP11
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP4
0.135811872915045	0.056	NA	NA	NA	NA	0	0.83695652173913	NA	AGAP5
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP6
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP7
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP8
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGBL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGBL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGBL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGBL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGBL5
0.0958393402881364	0.219	NA	NA	NA	NA	0	0.916666666666667	NA	AGER
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGFG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGFG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGGF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGK
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGL
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGMAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT5
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT6
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPAT9
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGPS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGR2
0.298566011938977	0.077	NA	NA	NA	NA	0	0.0181159420289855	NA	AGR3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGRN
0.114679726373799	0.027	NA	NA	NA	NA	0	0.496376811594203	NA	AGRP
0.0360717249147133	0.401	NA	NA	NA	NA	0	0.0072463768115942	NA	AGT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGTPBP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGTR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGTRAP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGXT
